id,rating,title,date,content
Jamie,2,"7th generation vs this new one
","May 6, 2019","Let me add some updates here for people who seem to be confused. I used the 7th generation paper white I happen to have in my purse at the time this one was delivered and I use that to compare this model with. Yes, this is a basic reader, however, I still stand by my review in the fact that it is worth the extra cost vs this cheaper base. It is that simple, this product is subpar, and not the quality that Amazon usually offers even in their base products. It is that simpleSeriously Amazon, is this thing a joke? Lets start off with me comparing this to the 7th generation Kindle I had with me. Screen size is exactly the same. The 7th generation is slightly larger, which I actually like cause the new one is so small, it is actually uncomfortable to hold.The 7th generation touch screen is remarkably more responsive than the newest kindle I just received. I am beyond disappointed so far with it. In fact after registering it, and comparing it to my old one, i noticed, my old one which is the same GB size, actually has more memory available, 7 gen - 2.58 gb free vs. newest 2.26 gb free? Guess they need that extra space to cram more ads in there...but who am I to judge, I did buy it, didn't I? So here is the deal, basically, there is NO screen size difference, in fact, Amazon seems to have just shrunk the outer case, and sold me a worse kindle when compared to the previous version. The touch screen really is subpar. It is far from responsive and quick like the 7th generation. To add the icing on this cake, I see the waterproof kindle is on sale today for what i bought this not so great thing for. So i guess i am a little sore. Breakdown:7th generation vs. this new oneActual screen size: exactly the samePhysical size: 7th generation is larger, actually working it its favor making it easier to handle.Lights - Excatly the sameBattery - Again, I'm finding no difference in performanceTouch screen- 7th generation wins by long shot, responsive, quick. New kindle - Delayed, harder to get it to respondFinal thoughts - stay away. Not worth it. Amazon needs to step up their quality for this one seems to be utterly lacking.
"
Mozzy,1,"No power adapter - SAD
","July 15, 2019","Dear Amazon. It’s 2019 and it’s sad that you sell a gadget without a power adapter just so you can sell it separately at a cost. So technically, the advertised price looks cheaper but the buyer can’t use the device without spending more to buy a power adapter. That’s really greedy and deceitful. It’s like selling a brand new car without a battery.
"
Ravi Pendkar,2,"full of ads that cannot be turned off
","April 15, 2019","This device came packed with ads and promotional material that cannot be easily turned off. I tried to turn off the 'subscription' in my Amazon account for this device. The result is a vague - 'there was an error processing your request, try later' type message. Also, too many features that are trying to update your every page turn and click back to Amazon, not sure if these will slow down the device, but it was a chore going through all these settings disabling most of them. Too much work on a brand new product that you just unpacked. The only reason I bought this device was because of the 'easy on the eyes' screen - even there, I notice the page turns all black and flashes new content not very smoothly.
"
Ice Kindle,4,"Good Basic Kindle
","April 16, 2019","*UPDATE 6/4* So I think there was an update done shortly after I posted this comment but now batter time is similar to my original Kindle Keyboard lasting over 2 weeks. All other comments are the same.I have had this Kindle for just under a week and I've already read 4 books that's been sitting in my libray unread. I like it that its a no-fuss, no-frills device. Just read & go. I haven't had a Kindle e-reader since my 2nd Gen Kindle keyboard (I really loved that thing.) When I saw that this was $90 and had a back-light I grabbed it. So far my only complaint is that it doesn't hold charge long enough. I've charged this up several times in the week I've had it. I expected this to at least have a longer battery life than my 7th Gen Fire Tablet. Maybe it needs a software update or something.Other than that its good for people who miss reading without distractions.
"
Becca,1,"NO Text-to-Speech
","April 19, 2019","Don't be fooled with the 'accessibility'  trap.  It does not read the book to you.  It will read out loud ONE word at a time if you click on that word.  It also, causes chaos on the main menu with repeatedly reading the area you point to  then will prevent you from clicking on the area you want to navigate to, it's not very user friendly.  I did like the size of this kindle and the cover is nice as well.  But non - functional to me due to some sight issues I need it to read the book to me and it won't.  So I think i'll go for another platform all together as Amazon has chosen to stop putting text-to-speech because they have the Audible company so they can charge a monthly fee AND upcharge the books.  SIGH ! So now all my books on Amazon are useless.
"
PastorLou,1,"To small
","April 15, 2019","It was smaller than I expected. I returned it,
"
Derek A. Wade,1,"Without Collections, mostly useless.
","July 6, 2019","Amazon has done a dreadful job implementing collections. Apparently the people in their eBook development lab have never actually owned books. There isn't one single avid reader alive who piles his books in a random pile, alphabetizes by title or author only, or uses date of acquisition as their category of choice-- yet those are the categorization methods you're supposed to use with this thing. Most people organize by author, then series, and then series order. THE KINDLE CAN'T EVEN DO THAT! Items within a collection are organized by author's name or title of book, NOT series order. It's like these people don't even own books!THIS IS A TENTH GENERATION EBOOK READER AND THIS PROBLEM HAS EXISTED SINCE THE FIRST GENERATION!That is not an exaggeration. My very first review of the Kindle DX in 2009 complained about the inability to easily organize books. At the time I figured it was a function of the screen and firmware, since e-ink was new technology and the Kindle itself was only a year or two old. But after ten years of the same repeated blunders, Amazon is obviously trying to pass off a BUG as a FEATURE.With the Kindle 3 (Kindle Keyboard) I was able to simply use Calibre, reboot my Kindle, and there were my 547 ebooks neatly arranged by author and series. Terry Pratchett published over seventy books in his lifetime. Piers Anthony has over thirty in the Xanth series ALONE. This is CRITICAL for anyone who reads more than one author. For crying out loud it's critical for anyone who reads more than one BOOK!I just got this thing and spent two hours using Calibre to organize my eBooks into 34 categories. According to Calibre, everything is on the Kindle right where it's supposed to be-- not one category transferred to the Kindle. Not. A. Single. One. The only categories on my Kindle are those I created on the Kindle app on my iPad-- and those only contain books I have purchased from Amazon. Apparently they altered the firmware so that the only way to add collections via third party is to jailbreak the reader, and I am not willing to do that.It's bad enough that Amazon pushed that heap of junk Fire tablet out that is the worst of both worlds: a terrible eBook reader with the same screen glare and battery life issues as the (much cheaper and more versatile) iPad, AND a terrible tablet that doesn't allow 90% of the Android Market to be installed on it including necessary apps like Dropbox and Notepad, but removing the ability of readers to organize their eBooks efficiently is unconscionable.Let me say that again, AMAZON HAD TO REMOVE THIS FEATURE! THE KINDLE 3 (KINDLE KEYBOARD) HAD IT, AND NOW THE KINDLE FIRMWARE WON'T ALLOW IT IN THE 10TH GENERATION KINDLE!It is going to take me DAYS to manually create collections and put every book in my library into them; A TASK THAT SHOULD BE AUTOMATED IN THE YEAR 2019! A task that WAS automated in 2012 when I bought my Kindle Keyboard (for forty bucks less than this one, I might add).Amazon is doing this to transparently only support collections of books THEY sell. Fine. Since the majority of my eBooks didn't come from Amazon, it sounds like it would be easier for me to find another reader and stop buying books from them at all.One star is a gift, and one you don't deserve.
"
Rc Repair,5,"Got here fast and works great!
","April 15, 2019","I really like my new Kindle. It works great, came fast, and the battery lets me read for a long time. I really likr the fact that its backlit. This is not my first or even 5th e-reader, but I td my first Kindle and I can see why they are so popular. Highly recommend.
"
Honest Mike,3,"Not what it should be!
","April 16, 2019","Resolution is not great, can't recommend feels a bit cheap and navigation not intuitive.Update: After using for a bit more I changed to 3 stars. The device is ok, not great and not a Paperwhite Kindle, but it works. The transitions could be better and there is a learning curve to using it. The backlight is okay not great but provides a night reading option. If they kept the PPI at 300 or so this would be a definite buy for the moment if you need one then compare with Paperwhite first.
"
Jennifer Price,5,"It’s love!
","April 16, 2019","I am very happy with this purchase.  I traded in my old kindle got a $15 credit and 25% off this one.  I love the backlight and it’s extremely easy to navigate.  My eyes don’t hurt after reading, especially after long periods.
"
Ann Niessen,4,"Page turning process inconsistant
","April 17, 2019","Thus Kindle does not have side page turning buttons.  I did not realize this.  When you tap or swipe to go forward, sometimes it goes several pages forward at one time - most disconcerting, confusing, and aggravating.  Also, frequently when you tap on the left side which should take you back one page, it goes forward. Most frustrating!  It is easy to read the print.  However,  figuring out how to save a completed book to a collection took a lot of trial and error to figure out how to accomplish.
"
Jan,1,"Feels super cheap and does not come pre-set and linked to your account
","May 4, 2019","Well it's a bummer. This is not Amazon experience at all. The device feels very ""plasticky"", the screen touch is super sensitive (which could be a good thing for reading, but not great for initial typing and set-up). Even despite we are replacing an existing Kindle reader on our account, it does not come pre-set. This is our 4th Kindle reading device (all different types and generations), but by far the worst experience right out of the box...UPDATE 3rd day in... It's a ""budget"" kindle. More ""budget"" than previous generations. If you are looking for a budget device this is it. I'm returning as it originally was intended to replace wife's Kindle Voyage (300ppi and beautiful backlight) that has a challenge with charging connector. It's actually surprisingly better and cheaper to re-solder the charging connector on the Voyage, than to replace it with this one...
"
Ken Kendall,4,"Excellent But Limited Graphics
","April 16, 2019","I purchased this because I am sometimes in locations where recharges are hard to come by.  The device certainly has much better battery life than my iPad.  This is a big plus.The screen is good for reading in any light.""Turning"" pages is a bit less than optimal.  One must touch the screen in just the right place or nothing happens.  Also, it's a bit slow.  For the first few days, I was impatient and inadvertently managed to page ahead of myself.I own the original version one Kindle reader.  It has poor quality graphics.  The latest Kindle reader suffers from the same issue.  I suppose that the fact of the matter is that better graphics come with less battery life.  Tradeoffs!My only other issue is with the Bluetooth technology.  The device absolutely won't mate with the U Connect technology in my 2018 Rubicon.  The Kindle finds the U Connect but the connection fails.  In fairness, this may be the Jeep's technology in this area (I've had two Jeep Rubicon vehicles and both didn't do well in this area.)Would I recommend this unit?  Yes, subject to the above.
"
texindikid,3,"Dated device feels clunky to use
","April 16, 2019","The device is just fine. It is usable and the battery life is great but I’m not a fan of the touch responsiveness. It feels like a device that could have been “all-new” 15 years ago. Selecting individual words or phrases to use dictionary/wiki Kindle features that I love to use on my older Kindle Fire feel clunky and frustrating on this device.
"
Gary Shapiro,1,"No Text to Speech
","April 20, 2019","This Kindle is beautiful for reading ebooks, but I gave it a low rating because it lists Text-to-Speech as a feature and it does not in fact have this feature. Kindles used to have this feature, but now you must have a Fire for this. The new Kindle does not have a speaker or a headphone jack. It was irritating to discover this. When I first received the device I called for tech support to find out how to turn on Text-to- Speech and was passed around to one person after another, none of whom realized that the Kindle did not and could not have this feature. If you don’t need it, then you will have no problem with this Kindle.
"
A. M. Hernandez,5,"I Sold My Oasis. Make Sure to Get a PopSocket!
","May 17, 2019","So I might be weird, but I bought this new Kindle and sold my Kindle Oasis. The Oasis was definitely better in terms of the screen quality and the lighting, but this new Kindle is a tad lighter and even easier to hold once I got a PopSocket for it. In terms of the screen, the quality is fine. It does look a little softer, and some smaller images can be pixelated, but overall it is fine and readable.The front lighting has a blue tint to it, the Paperwhite and Oasis are more of a white light and more even, but this is still okay. I got about 12 hours of use with the light at full blast. On level 15 it is lasting much longer but it hasn't run out yet so I don't know how much. Also, I noticed sometimes when I press the screen to turn a page it doesn't register at first, or I have to press harder. Not the end of the world. So overall I like it a lot, and for the price I can't complain (I got it on the sale).While comparing the specs it looks lower end, and it is, but when you are using it there is no problem, the text is readable. Finally, make sure to get a PopSocket PopGrip. It makes holding the Kindle with one hand so much easier and less straining. They are usually around 10 dollars and it is a huge comfort improvement. Hope you enjoy.
"
Fixit Jake,1,"Not worth $100!
","April 29, 2019","The technology this device uses is super old, which isn't really a bad thing since it's the correct display type to use for a dedicated reader.  HOWEVER, it does not need to be $100!  This thing should be selling for half that, or even less.  Overall it is sluggish and slow.  Interacting with the store is frustrating, and entering text reminds me of phones a decade ago.  Again, I get that this is dedicated to a single task and it does that well, it's just the price tag for such old hardware that really gets me...
"
D. Christensen,3,"Didn't do enough research
","April 18, 2019","I didn't need a new Kindle, my old one is just fine.  What I wanted was a Kindle that allowed me to read and listen at the same time.  This isn't possible with this model.  I had long chats with techs at Amazon and finally found out from someone in the audio tech division that I could not get a lended audio book from my library.  I was able to return the Kindle without a problem, along with the accessories I bought.  I asked the community for help and received some valuable information, but not enough for me to want to pursue keeping this model.  I prefer to get all my ebooks from my library via Overdrive, this works really well for me and it is free.
"
Bob,1,"Beware!  See comments
","April 22, 2019","So I have tried  3 of these. Latest one screen locks up. Going to Nook no problems wit a Nook. Doesn’t do page numbers. It is an OK reader but nothing outstanding. So Worth maybe no states actually. . But have to knock it down because they say the battery last weeks, I’ve been using it for one day for moderate reading without the front light and it’s already down 25% that will not last even one week so beware of that.From amazon the trickstersHello,This is Jasmin with Amazon’s Review Team.A single charge for your Kindle lasts up to four (4) weeks, based on a half hour of reading per day with wireless off and the light setting at 13. Battery life will vary based on light settings, wireless usage. Audible audiobook streaming over Bluetooth will reduce battery life.If your battery life is not lasting as long as your think it should with the information about we would love to assist you with this issue.Also thank you for taking the time to provide feedback about the Kindle. Customer feedback like yours really helps us continue to improve our devices and provide better service to our customers, and we thank you for taking time to offer us your thoughts. We'll consider your comments as we plan further improvements.I will forward your feedback to the appropriate team.If you would like help troubleshooting any of your Amazon device's in the future or have any concerns, please contact customer service by using the following link:
"
I love my Kindle,3,"I love my new Kindle ... not so much.
","April 22, 2019","I bought this because my 2 old kindles were running out of battery.  This one seemed nice with the back light, which is the reason I'm keeping it.  However, the touch screen is too sensitive and jumps pages at a time but I'm not quite sure how.  The old kindles had the buttons on the sides which I much prefer.  With the old Kindles I could archive books that I'd finished and not take up storage space.  With this Kindle it either shows ALL or DOWNLOADED.  I guess you could set up a collection of books you've added but not yet read but that seems like a lot of work.  I like the back light and the extra storage but there seem to be more things that I don't like because they just seem harder to use.  For me, the touch screen isn't much of a plus, I prefer the buttons on the side.  It seems a little more slippery to hold on to also.Update to my original review. I like this even less than I did when I received it. When I hold it in one hand and try to turn the page, if I've got any pressure on the case at all where it might be trying to flex a little, the page doesn't turn so you have to change how you hold it to turn the page. It's still skipping pages for no apparent reason and every once in awhile while I'm trying to turn the page, it highlights something or brings up the dictionary. AKK!I'm not complaining about the ads because I knew that when I bought it and I don't mind that. I'm keeping it because of the back light, I found that I do enjoy that. However, I'm absolutely going to replace the battery in at least one of my old kindles with the page turning buttons because I miss that when I read in daylight or good light.
"
Amazon Customer,1,"Dead pixel
","April 15, 2019","I’m one of those who ordered the device prior to release date and was very happy about this product, but as soon as i opened and turned it on I found a dead pixel on the display, this is kinda disappointing however i really don’t care about one dead pixel but it doesn’t mean it’s acceptable. I’m already considering returning it!Update: Returned the first one and requested a replacement, as you can see in the attached photo I haven’t even set it up and there is a dead pixel on the screen already :oUpdate2: I ended up returning my second one and just decided to go with the paperweight and I’m glad that i did. Such big difference in quality and workability!
"
